id,version_date,item,open,high,low,close,up_or_down,mapping,refresh_date
15801,2011-06-07,Au9999,321.87,322.25,321.75,322.03,2.26,1.0,2022-01-04 02:27:46
15807,2011-06-08,Au9999,323.0,323.0,321.0,321.0,-1.03,-1.0,2022-01-04 02:27:46
15813,2011-06-09,Au9999,322.5,322.5,319.99,320.71,-0.29,-1.0,2022-01-04 02:27:46
15819,2011-05-12,Au9999,318.0,318.0,312.0,312.53,-5.76,-1.0,2022-01-04 02:27:46
15825,2011-05-13,Au9999,313.0,317.0,312.1,317.0,4.47,1.0,2022-01-04 02:27:46
15831,2011-05-16,Au9999,317.0,317.0,312.7,314.02,-2.98,-1.0,2022-01-04 02:27:46
15837,2011-05-17,Au9999,314.85,315.2,313.4,314.0,-0.02,-1.0,2022-01-04 02:27:46
15843,2011-05-18,Au9999,314.0,314.0,310.6,313.35,-0.65,-1.0,2022-01-04 02:27:46
15849,2011-05-19,Au9999,314.5,314.5,312.5,313.7,0.35,1.0,2022-01-04 02:27:46
15855,2011-05-20,Au9999,314.0,314.19,312.1,314.12,0.42,1.0,2022-01-04 02:27:46
15862,2011-05-23,Au9999,316.5,316.5,315.3,315.5,1.38,1.0,2022-01-04 02:27:46
15869,2011-05-24,Au9999,316.5,318.1,315.81,318.05,2.55,1.0,2022-01-04 02:27:46
15876,2011-05-25,Au9999,318.05,319.2,318.05,318.89,0.84,1.0,2022-01-04 02:27:46
15882,2011-04-27,Au9999,317.5,317.5,314.28,315.74,-0.33,-1.0,2022-01-04 02:27:46
15888,2011-04-28,Au9999,317.45,320.4,315.8,320.17,4.43,1.0,2022-01-04 02:27:46
15894,2011-04-29,Au9999,320.2,321.45,319.5,320.17,0.0,0.0,2022-01-04 02:27:46
15900,2011-05-03,Au9999,316.2,323.9,316.0,322.0,1.83,1.0,2022-01-04 02:27:46
15906,2011-05-04,Au9999,322.0,322.8,320.0,321.67,-0.33,-1.0,2022-01-04 02:27:46
15912,2011-05-05,Au9999,322.5,322.5,316.2,318.12,-3.55,-1.0,2022-01-04 02:27:46
15918,2011-05-06,Au9999,317.01,317.51,311.0,311.39,-6.73,-1.0,2022-01-04 02:27:46
15924,2011-05-09,Au9999,315.0,315.35,313.2,314.92,3.53,1.0,2022-01-04 02:27:46
15930,2011-05-10,Au9999,316.49,316.6,314.75,316.0,1.08,1.0,2022-01-04 02:27:46
15936,2011-05-11,Au9999,316.5,318.88,315.4,318.29,2.29,1.0,2022-01-04 02:27:46
15942,2020-12-09,Au9999,385.99,388.2,384.3,384.75,-2.01,-1.0,2022-01-04 02:27:46
15953,2020-12-10,Au9999,384.75,385.7,381.0,381.46,-3.29,-1.0,2022-01-04 02:27:46
15966,2020-12-11,Au9999,378.0,384.1,369.61,381.46,0.0,0.0,2022-01-04 02:27:46
15979,2020-12-14,Au9999,381.6,383.69,380.45,380.46,-1.0,-1.0,2022-01-04 02:27:46
15991,2020-12-15,Au9999,380.2,384.09,379.02,383.8,3.34,1.0,2022-01-04 02:27:46
16004,2020-12-16,Au9999,384.0,386.8,383.5,385.44,1.64,1.0,2022-01-04 02:27:46
16018,2020-12-17,Au9999,386.75,388.8,384.1,388.7,3.26,1.0,2022-01-04 02:27:46
16031,2020-12-18,Au9999,389.0,391.89,388.22,390.34,1.64,1.0,2022-01-04 02:27:46
16044,2020-12-21,Au9999,390.98,397.91,389.43,395.96,5.62,1.0,2022-01-04 02:27:46
16057,2020-12-22,Au9999,391.3,394.48,390.3,390.32,-5.64,-1.0,2022-01-04 02:27:46
16071,2011-04-13,Au9999,308.6,308.9,306.0,307.95,0.45,1.0,2022-01-04 02:27:46
16078,2011-04-14,Au9999,308.6,308.6,307.15,308.54,0.59,1.0,2022-01-04 02:27:46
16084,2011-04-15,Au9999,308.54,310.7,307.95,310.22,1.68,1.0,2022-01-04 02:27:46
16090,2011-04-18,Au9999,312.0,312.15,311.5,312.0,1.78,1.0,2022-01-04 02:27:46
16096,2011-04-19,Au9999,312.7,313.65,312.0,313.6,1.6,1.0,2022-01-04 02:27:46
16102,2011-04-20,Au9999,314.0,315.54,312.17,315.39,1.79,1.0,2022-01-04 02:27:46
16108,2011-04-21,Au9999,316.9,316.9,315.1,315.8,0.41,1.0,2022-01-04 02:27:46
16114,2011-04-22,Au9999,318.0,318.0,315.0,317.48,1.68,1.0,2022-01-04 02:27:46
16120,2011-04-25,Au9999,319.2,319.2,317.55,318.9,1.42,1.0,2022-01-04 02:27:46
16126,2011-04-26,Au9999,320.0,320.0,314.9,316.07,-2.83,-1.0,2022-01-04 02:27:46
16132,2011-03-28,Au9999,305.6,305.6,300.2,300.39,-3.59,-1.0,2022-01-04 02:27:46
16138,2011-03-29,Au9999,300.5,301.14,299.5,300.83,0.44,1.0,2022-01-04 02:27:46
16144,2011-03-30,Au9999,300.6,301.8,300.25,301.74,0.91,1.0,2022-01-04 02:27:46
16150,2011-03-31,Au9999,302.5,302.5,300.0,302.16,0.42,1.0,2022-01-04 02:27:46
16156,2011-04-01,Au9999,302.18,303.28,302.18,303.04,0.88,1.0,2022-01-04 02:27:46
16162,2011-04-06,Au9999,306.5,306.55,304.0,306.47,3.43,1.0,2022-01-04 02:27:46
16168,2011-04-07,Au9999,307.0,307.5,306.4,306.54,0.07,1.0,2022-01-04 02:27:46
16174,2011-04-08,Au9999,308.0,309.2,306.6,309.2,2.66,1.0,2022-01-04 02:27:46
16180,2011-04-11,Au9999,309.2,311.5,309.2,310.55,1.35,1.0,2022-01-04 02:27:46
16186,2011-04-12,Au9999,310.55,310.55,307.0,307.5,-3.05,-1.0,2022-01-04 02:27:46
16192,2011-03-14,Au9999,304.0,304.0,301.2,302.68,1.73,1.0,2022-01-04 02:27:46
16198,2011-03-15,Au9999,303.0,303.0,300.2,300.44,-2.24,-1.0,2022-01-04 02:27:46
16204,2011-03-16,Au9999,299.18,299.18,294.6,298.5,-1.94,-1.0,2022-01-04 02:27:46
16210,2011-03-17,Au9999,299.9,299.9,296.5,297.6,-0.9,-1.0,2022-01-04 02:27:46
16217,2011-03-18,Au9999,298.7,301.2,297.7,300.84,3.24,1.0,2022-01-04 02:27:46
16222,2011-03-21,Au9999,302.98,303.65,302.98,303.15,2.31,1.0,2022-01-04 02:27:46
16228,2011-03-22,Au9999,304.4,304.4,302.6,302.8,-0.35,-1.0,2022-01-04 02:27:46
16234,2011-03-23,Au9999,302.8,303.0,301.56,302.8,0.0,0.0,2022-01-04 02:27:46
16240,2011-03-24,Au9999,303.8,304.32,302.75,304.3,1.5,1.0,2022-01-04 02:27:46
16246,2011-03-25,Au9999,304.4,305.34,302.58,303.98,-0.32,-1.0,2022-01-04 02:27:46
16252,2011-02-28,Au9999,299.5,299.7,299.2,299.6,1.28,1.0,2022-01-04 02:27:46
16258,2011-03-01,Au9999,300.0,300.0,298.68,299.79,0.19,1.0,2022-01-04 02:27:46
16264,2011-03-02,Au9999,300.6,302.35,300.0,302.27,2.48,1.0,2022-01-04 02:27:46
16270,2011-03-03,Au9999,303.0,303.5,300.5,301.7,-0.57,-1.0,2022-01-04 02:27:46
16277,2011-03-04,Au9999,300.5,302.6,299.5,299.72,-1.98,-1.0,2022-01-04 02:27:46
16282,2011-03-07,Au9999,303.0,304.18,302.6,304.05,4.33,1.0,2022-01-04 02:27:46
16288,2011-03-08,Au9999,305.5,305.5,301.9,302.02,-2.03,-1.0,2022-01-04 02:27:46
16294,2011-03-09,Au9999,304.82,304.82,301.4,302.05,0.03,1.0,2022-01-04 02:27:46
16300,2011-03-10,Au9999,302.8,303.35,302.0,303.3,1.25,1.0,2022-01-04 02:27:46
16306,2011-03-11,Au9999,303.0,303.0,298.6,300.95,-2.35,-1.0,2022-01-04 02:27:46
16312,2011-02-14,Au9999,290.75,292.97,289.25,290.29,0.01,1.0,2022-01-04 02:27:46
16318,2011-02-15,Au9999,290.28,291.4,289.7,290.95,0.66,1.0,2022-01-04 02:27:46
16324,2011-02-16,Au9999,292.9,292.98,291.8,292.83,1.88,1.0,2022-01-04 02:27:46
16330,2011-02-17,Au9999,293.0,293.48,291.6,293.4,0.57,1.0,2022-01-04 02:27:46
16336,2011-02-18,Au9999,294.5,294.55,293.0,294.1,0.7,1.0,2022-01-04 02:27:46
16342,2011-02-21,Au9999,295.8,297.8,295.8,296.49,2.39,1.0,2022-01-04 02:27:46
16349,2011-02-22,Au9999,297.5,298.13,295.0,296.86,0.37,1.0,2022-01-04 02:27:46
16355,2011-02-23,Au9999,297.91,297.91,296.3,297.3,0.44,1.0,2022-01-04 02:27:46
16361,2011-02-24,Au9999,297.95,299.12,297.1,299.05,1.75,1.0,2022-01-04 02:27:46
16367,2011-02-25,Au9999,299.85,300.0,297.5,298.32,-0.73,-1.0,2022-01-04 02:27:46
16373,2011-01-24,Au9999,291.5,291.99,291.0,291.22,0.21,1.0,2022-01-04 02:27:46
16380,2011-01-25,Au9999,295.0,295.0,287.1,287.3,-3.92,-1.0,2022-01-04 02:27:46
16386,2011-01-26,Au9999,287.99,288.3,285.86,288.2,0.9,1.0,2022-01-04 02:27:46
16392,2011-01-27,Au9999,289.8,289.8,285.5,287.35,-0.85,-1.0,2022-01-04 02:27:46
16398,2011-01-28,Au9999,287.0,287.3,281.2,282.58,-4.77,-1.0,2022-01-04 02:27:46
16404,2011-01-31,Au9999,287.2,289.4,285.25,285.7,3.12,1.0,2022-01-04 02:27:46
16410,2011-02-01,Au9999,286.0,286.0,283.8,285.95,0.25,1.0,2022-01-04 02:27:46
16416,2011-02-09,Au9999,290.99,290.99,289.02,290.0,4.05,1.0,2022-01-04 02:27:46
16422,2011-02-10,Au9999,290.9,291.1,289.71,289.71,-0.29,-1.0,2022-01-04 02:27:46
16428,2011-02-11,Au9999,288.7,290.5,288.12,290.28,0.57,1.0,2022-01-04 02:27:46
16434,2011-01-10,Au9999,297.45,298.7,297.0,298.53,1.64,1.0,2022-01-04 02:27:46
16441,2011-01-11,Au9999,299.0,299.8,297.0,299.79,1.26,1.0,2022-01-04 02:27:46
16448,2011-01-12,Au9999,300.5,301.01,299.2,299.22,-0.57,-1.0,2022-01-04 02:27:46
16454,2011-01-13,Au9999,299.4,299.8,297.8,297.8,-1.42,-1.0,2022-01-04 02:27:46
16461,2011-01-14,Au9999,299.5,299.5,295.7,295.79,-2.01,-1.0,2022-01-04 02:27:46
16466,2011-01-17,Au9999,295.79,295.79,293.1,293.39,-2.4,-1.0,2022-01-04 02:27:46
16472,2011-01-18,Au9999,295.0,296.5,293.3,296.46,3.07,1.0,2022-01-04 02:27:46
